,angle_r,angle_d,thickness,ext_x,ext_y,vent_x,vent_y
0,0.0,0.0,928.8239513434469,1110.0,609.0,849.0,731.0
1,0.15707963267948966,9.0,935.3016083948676,1075.0,542.0,822.0,684.0
2,0.3141592653589793,18.0,912.351691229568,1032.0,479.0,795.0,634.0
3,0.47123889803846897,27.0,948.0638288434525,993.0,407.0,739.0,555.0
4,0.6283185307179586,36.0,944.2714484035839,940.0,340.0,723.0,537.0
5,0.7853981633974483,45.0,988.79422958685,879.0,266.0,689.0,507.0
6,0.9424777960769379,54.0,1052.5431508539803,804.0,185.0,636.0,465.0
7,1.0995574287564276,63.0,1102.466103704394,709.0,123.0,602.0,448.0
8,1.2566370614359172,72.0,1192.4411137091731,597.0,73.0,550.0,440.0
9,1.413716694115407,81.0,1301.7281985145212,470.0,42.0,538.0,440.0
10,1.5707963267948966,90.0,1323.3883444269356,348.0,70.0,490.0,455.0
11,1.7278759594743862,99.0,1217.8057678531147,255.0,157.0,482.0,459.0
12,1.8849555921538759,108.0,1093.029457705291,192.0,267.0,456.0,480.0
13,2.0420352248333655,117.0,1021.1255315377248,149.0,377.0,438.0,507.0
14,2.199114857512855,126.0,1011.7783085372682,111.0,477.0,411.0,569.0
15,2.356194490192345,135.0,1031.2203768175968,86.0,576.0,405.0,598.0
16,2.5132741228718345,144.0,1061.2669100230214,77.0,674.0,406.0,659.0
17,2.670353755551324,153.0,1093.82846290678,81.0,770.0,411.0,691.0
18,2.827433388230814,162.0,1122.0052884445884,96.0,861.0,427.0,753.0
19,2.9845130209103035,171.0,1164.1376113226754,116.0,950.0,442.0,795.0
20,3.141592653589793,180.0,1211.6495942983095,147.0,1034.0,472.0,845.0
21,3.2986722862692828,189.0,1272.6069097193435,183.0,1118.0,495.0,876.0
22,3.4557519189487724,198.0,1348.3222672841373,222.0,1205.0,544.0,938.0
23,3.612831551628262,207.0,1394.012082290894,277.0,1287.0,592.0,991.0
24,3.7699111843077517,216.0,1384.8948256807955,345.0,1364.0,658.0,1070.0
25,3.9269908169872414,225.0,1342.1990505376696,427.0,1435.0,708.0,1128.0
26,4.084070449666731,234.0,1246.2382328083374,526.0,1480.0,753.0,1167.0
27,4.241150082346221,243.0,1154.0698841102344,633.0,1507.0,767.0,1175.0
28,4.39822971502571,252.0,1051.1934666238699,744.0,1507.0,796.0,1185.0
29,4.5553093477052,261.0,1026.692005591371,859.0,1507.0,839.0,1189.0
30,4.71238898038469,270.0,1101.4703675498708,983.0,1507.0,874.0,1183.0
31,4.869468613064179,279.0,1111.6215164567295,1091.0,1452.0,879.0,1180.0
32,5.026548245743669,288.0,1105.6313821663591,1173.0,1362.0,898.0,1157.0
33,5.183627878423159,297.0,1018.8669485502583,1211.0,1242.0,921.0,1116.0
34,5.340707511102648,306.0,973.5564346343673,1224.0,1123.0,924.0,1087.0
35,5.497787143782138,315.0,938.476571948258,1219.0,1014.0,928.0,1014.0
36,5.654866776461628,324.0,935.9241275703658,1206.0,917.0,916.0,928.0
37,5.811946409141117,333.0,922.3740971484561,1187.0,831.0,911.0,907.0
38,5.969026041820607,342.0,906.0026909808998,1157.0,752.0,887.0,830.0
39,6.126105674500096,350.99999999999994,915.8220411156218,1132.0,680.0,862.0,768.0
